 # id,msink,x,y,z,vx,vy,vz,lx,ly,lz,tform,acc_rate,del_mass,rho_gas,cs**2,etherm,vx_gas,vy_gas,vz_gas,mbh,level 
 # 1,m,l,l,l,l t**-1,l t**-1,l t**-1,m l**2 t**-1,m l**2 t**-1,m l**2 t**-1,t,m t**-1,m,m l**-3,l**2 t**-2,m l**2 t**-2,l t**-1,l t**-1,l t**-1,m,1 
         1,     5.0000000000E-03,     1.2949682428E+02,     1.3033252673E+02,     1.2998090703E+02,    -1.6138031075E-02,    -2.6203075296E-03,    -4.7811203634E-04,    -2.0083047596E-09,     4.1761756386E-09,    -7.8801318637E-10,     4.0771093772E+00,     4.3241303035E-08,     1.3141491758E-06,     7.3741196143E-05,     1.0170708595E-01,     2.5426771487E-01,    -1.4235754312E-01,    -8.2308321536E-02,    -7.2942386451E-02,     5.0017086988E-03,        16
         2,     5.0000000000E-03,     1.3021584818E+02,     1.2963883490E+02,     1.3000484186E+02,    -3.9617237272E-04,     1.1480441109E-03,    -5.9803318196E-04,     2.6936920189E-12,     4.0986761341E-12,     7.3351179300E-12,     4.0771093772E+00,     3.1718796935E-08,     3.3904851120E-09,     5.4348023928E-05,     1.0382212329E-01,     2.5955530823E-01,    -8.4757268109E-02,    -5.3655397893E-02,    -7.6674990387E-02,     5.0000944043E-03,        16
